"Дни ПЗ",Пул,"Ставка СКА"
0,0,0.04
1,1,0.1
2,1,0.1
3,1,0.1
4,1,0.1
5,1,0.1
6,1,0.1
7,1,0.1
8,1,0.1
9,1,0.1
10,1,0.1
11,1,0.1
12,1,0.1
13,1,0.1
14,1,0.1
15,1,0.1
16,1,0.1
17,1,0.1
18,1,0.1
19,1,0.1
20,1,0.1
21,1,0.1
22,1,0.1
23,1,0.1
24,1,0.1
25,1,0.1
26,1,0.1
27,1,0.1
28,1,0.1
29,1,0.1
30,1,0.1
31,2,0.1
32,2,0.1
33,2,0.1
34,2,0.1
35,2,0.1
36,2,0.1
37,2,0.1
38,2,0.1
39,2,0.1
40,2,0.1
41,2,0.1
42,2,0.1
43,2,0.1
44,2,0.1
45,2,0.1
46,2,0.1
47,2,0.1
48,2,0.1
49,2,0.1
50,2,0.1
51,2,0.1
52,2,0.1
53,2,0.1
54,2,0.1
55,2,0.1
56,2,0.1
57,2,0.1
58,2,0.1
59,2,0.1
60,2,0.1
61,3,0.1
62,3,0.1
63,3,0.1
64,3,0.1
65,3,0.1
66,3,0.1
67,3,0.1
68,3,0.1
69,3,0.1
70,3,0.1
71,3,0.1
72,3,0.1
73,3,0.1
74,3,0.1
75,3,0.1
76,3,0.1
77,3,0.1
78,3,0.1
79,3,0.1
80,3,0.1
81,3,0.1
82,3,0.1
83,3,0.1
84,3,0.1
85,3,0.1
86,3,0.1
87,3,0.1
88,3,0.1
89,3,0.1
90,3,0.1
91,4,0.165
92,4,0.165
93,4,0.165
94,4,0.165
95,4,0.165
96,4,0.165
97,4,0.165
98,4,0.165
99,4,0.165
100,4,0.165
101,4,0.165
102,4,0.165
103,4,0.165
104,4,0.165
105,4,0.165
106,4,0.165
107,4,0.165
108,4,0.165
109,4,0.165
110,4,0.165
111,4,0.165
112,4,0.165
113,4,0.165
114,4,0.165
115,4,0.165
116,4,0.165
117,4,0.165
118,4,0.165
119,4,0.165
120,4,0.165
121,5,0.165
122,5,0.165
123,5,0.165
124,5,0.165
125,5,0.165
