№,Продукт,"Дни просрочки",Сцепка,"Вероятность взыскания","Ставка резерва",База,"Расчет суммы",Потери,База,Расчет,Потери,"Истина/ Ложь для резерва по стандартному сценарию","Истина/ Ложь для резерва по сценарию реструктуризации"
1,Автокредиты,0,Автокредиты0,0.9995,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,FALSE,FALSE
2,Автокредиты,1,Автокредиты1,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
3,Автокредиты,2,Автокредиты2,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
4,Автокредиты,3,Автокредиты3,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
5,Автокредиты,4,Автокредиты4,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
6,Автокредиты,5,Автокредиты5,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
7,Автокредиты,6,Автокредиты6,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
8,Автокредиты,7,Автокредиты7,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
9,Автокредиты,8,Автокредиты8,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
10,Автокредиты,9,Автокредиты9,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
11,Автокредиты,10,Автокредиты10,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
12,Автокредиты,11,Автокредиты11,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
13,Автокредиты,12,Автокредиты12,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
14,Автокредиты,13,Автокредиты13,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
15,Автокредиты,14,Автокредиты14,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
16,Автокредиты,15,Автокредиты15,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
17,Автокредиты,16,Автокредиты16,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
18,Автокредиты,17,Автокредиты17,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
19,Автокредиты,18,Автокредиты18,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
20,Автокредиты,19,Автокредиты19,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
21,Автокредиты,20,Автокредиты20,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
22,Автокредиты,21,Автокредиты21,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
23,Автокредиты,22,Автокредиты22,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
24,Автокредиты,23,Автокредиты23,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
25,Автокредиты,24,Автокредиты24,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
26,Автокредиты,25,Автокредиты25,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
27,Автокредиты,26,Автокредиты26,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
28,Автокредиты,27,Автокредиты27,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
29,Автокредиты,28,Автокредиты28,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
30,Автокредиты,29,Автокредиты29,0.95,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
31,Автокредиты,30,Автокредиты30,0.9,0.0003,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
32,Автокредиты,31,Автокредиты31,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
33,Автокредиты,32,Автокредиты32,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
34,Автокредиты,33,Автокредиты33,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
35,Автокредиты,34,Автокредиты34,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
36,Автокредиты,35,Автокредиты35,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
37,Автокредиты,36,Автокредиты36,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
38,Автокредиты,37,Автокредиты37,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
39,Автокредиты,38,Автокредиты38,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
40,Автокредиты,39,Автокредиты39,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
41,Автокредиты,40,Автокредиты40,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
42,Автокредиты,41,Автокредиты41,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
43,Автокредиты,42,Автокредиты42,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
44,Автокредиты,43,Автокредиты43,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
45,Автокредиты,44,Автокредиты44,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
46,Автокредиты,45,Автокредиты45,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
47,Автокредиты,46,Автокредиты46,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
48,Автокредиты,47,Автокредиты47,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
49,Автокредиты,48,Автокредиты48,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
50,Автокредиты,49,Автокредиты49,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
51,Автокредиты,50,Автокредиты50,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
52,Автокредиты,51,Автокредиты51,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
53,Автокредиты,52,Автокредиты52,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
54,Автокредиты,53,Автокредиты53,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
55,Автокредиты,54,Автокредиты54,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
56,Автокредиты,55,Автокредиты55,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
57,Автокредиты,56,Автокредиты56,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
58,Автокредиты,57,Автокредиты57,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
59,Автокредиты,58,Автокредиты58,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
60,Автокредиты,59,Автокредиты59,0.9,0.0194,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
